1	idol	19744
3	knows	16061
3	olderRelative	7748
3	boss	35970
7	knowswell	23596
8	knowswell	10477
8	mentor	46357
9	knows	14226
9	boss	3552
10	knows	9710
10	knows	487
10	boss	27729
11	knowswell	14317
13	knowswell	18802
14	knowswell	45547
15	knowswell	38900
15	knowswell	41872
16	knowswell	23841
18	knowswell	39333
18	knowswell	36033
18	knowswell	2508
18	mentor	22849
19	knowswell	8385
20	knowswell	33989
21	knowswell	22482
23	idol	43502
23	knowswell	839
24	knowswell	12870
25	boss	39153
27	knowswell	10669
28	olderRelative	24352
28	boss	39718
28	idol	30962
28	knowswell	27834
28	olderRelative	40822
29	knowswell	35436
29	knowswell	25726
31	idol	44854
31	knowswell	34239
32	knowswell	33817
33	knowswell	37998
34	knowswell	18322
35	knows	40872
36	idol	35704
38	knows	2489
38	knowswell	23841
38	knowswell	23769
38	knowswell	18606
40	knowswell	25258
40	knowswell	27396
42	idol	41925
42	knowswell	7448
43	knows	5477
43	knowswell	36265
44	knowswell	28252
45	knows	42231
45	knowswell	41445
45	mentor	20708
46	knowswell	22040
47	knows	8027
47	knows	23221
47	knows	42786
48	knowswell	17762
48	knowswell	5876
48	knowswell	31410
48	mentor	20708
48	olderRelative	43542
49	knows	46541
49	knowswell	48758
51	knows	3129
51	boss	25115
51	idol	30923
51	idol	7639
52	knowswell	25371
52	knowswell	8876
54	idol	24489
56	knowswell	28483
58	knows	15623
58	knows	45275
58	knowswell	9998
59	knowswell	3328
59	knowswell	31385
59	knowswell	7869
59	knowswell	22639
59	knowswell	32010
60	olderRelative	21570
60	boss	9977
61	idol	8638
62	knowswell	33027
63	idol	19303
64	knowswell	43751
64	knowswell	47278
64	knowswell	8419
64	knowswell	27466
64	knowswell	48135
64	boss	21206
65	knows	36387
66	knows	202
66	knows	41587
66	knows	22841
66	knowswell	24689
67	boss	20475
67	boss	8469
67	boss	48743
67	boss	10724
67	boss	35413
67	knows	26758
69	knows	8668
69	knows	39852
69	knows	17931
69	knows	26264
69	knows	6857
69	knows	34607
69	knows	36900
69	knows	13253
69	knows	40923
69	knows	24288
69	knows	42549
69	knows	40568
69	knows	19519
69	knows	45711
69	knows	10634
69	knows	13477
70	knows	4758
72	knowswell	36731
72	mentor	45731
72	mentor	9342
72	mentor	36084
72	mentor	22673
72	mentor	24406
